"Numéro FINESS","SIREN","Raison sociale","Complément distribution","Adresse","Lieudit/BP","Code postal","Libelle routage","Tel","Fax","Compl distr public","Adresse public","Lieudit/BP public","Code postal public","Routage public","Tel public","Fax public","Date ouvert","Code categorie","Lib categorie","Code statut","Lib statut","Code tarif","Lib tarif","Code PSPH","Lib PSPH","FINESS juridique","SAN:","Activite1","Modalité1","Forme1","Activite2","Modalité2","Forme2","Activite3","Modalité3","Forme3","Activite4","Modalité4","Forme4","Activite5","Modalité5","Forme5","Activite6","Modalité6","Forme6","Activite7","Modalité7","Forme7","Activite8","Modalité8","Forme8","Activite9","Modalité9","Forme9","Activite10","Modalité10","Forme10","Activite11","Modalité11","Forme11","Activite12","Modalité12","Forme12","Activite13","Modalité13","Forme13","Activite14","Modalité14","Forme14","Activite15","Modalité15","Forme15","Activite16","Modalité16","Forme16","Activite17","Modalité17","Forme17","Activite18","Modalité18","Forme18","Activite19","Modalité19","Forme19","Activite20","Modalité20","Forme20","Activite21","Modalité21","Forme21","Activite22","Modalité22","Forme22","Activite23","Modalité23","Forme23","Activite24","Modalité24","Forme24","Activite25","Modalité25","Forme25","EML:","Code1","Equipement1","Code2","Equipement2","Code3","Equipement3","Code4","Equipement4","Code5","Equipement5","Code6","Equipement6",,,,,,,,,,,,,,,,,
670005594,"309 673 606 00013","LABM MATHIS",,"8 RUE PRESIDENT R POINCARE",,67600,"SELESTAT","03 88 58 45 01 ",,,,,,,,,,610,"Laboratoire d'Analyses",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670005586,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670005644,"778 800 029 00010","LABM SCHICKELE","BP 11","5 RUE DE HAGUENAU",,67110,"REICHSHOFFEN",,,,,,,,,,,610,"Laboratoire d'Analyses",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670005636,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670005677,"331 958 363 00029","LABM HAURANY",,"111 RUE DU GENERAL GOURAUD",,67340,"INGWILLER","03 88 89 18 00 ",,,,,,,,,,610,"Laboratoire d'Analyses",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670005651,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670005727,"399 926 872 00017","LABORATOIRE BARTHEL",,"24 RUE DU MARECHAL JOFFRE",,67700,"SAVERNE",,,,,,,,,,,610,"Laboratoire d'Analyses",85,"Soc. Exer. Lib. Resp. Limitée",1,"Etablissement Tarif Libre",,,670005701,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670005743,"342 383 122 00013","LABM BIOSAV",,"50 GRAND'RUE",,67700,"SAVERNE",,,,,,,,,,,610,"Laboratoire d'Analyses",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670005735,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670005776,"328 393 319 00012","LABM ASSIA",,"28 RUE FINKMATT",,67000,"STRASBOURG",,,,,,,,,,,610,"Laboratoire d'Analyses",85,"Soc. Exer. Lib. Resp. Limitée",1,"Etablissement Tarif Libre",,,670005750,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670005792,"348 474 297 00010","LABM DES VOSGES DE STRASBOURG",,"3 AVENUE DES VOSGES",,67000,"STRASBOURG",,,,,,,,,,,610,"Laboratoire d'Analyses",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670005784,,"AMP DPN","AMP Recueil et traitement du spermeintra-conjugal","Pas de forme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670005826,"300 154 218 00014","LABM DE KOENIGSHOFFEN",,"6 PLACE DES ROMAINS",,67200,"STRASBOURG","03 88 10 03 10 ",,,,,,,,,,610,"Laboratoire d'Analyses",85,"Soc. Exer. Lib. Resp. Limitée",1,"Etablissement Tarif Libre",,,670005800,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670005875,,"LABM DE LA MGEN",,"4 PLACE DU PONT AUX CHATS",,67085,"STRASBOURG CEDEX",,,,,,,,,,,610,"Laboratoire d'Analyses",47,"Société Mutualiste",1,"Etablissement Tarif Libre",,,670005867,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670005883,"778 853 309 00038","LABM DU CENTRE PAUL STRAUSS",,"3 RUE PORTE DE L'HOPITAL",,67085,"STRASBOURG CEDEX",,,,,,,,,,,610,"Laboratoire d'Analyses",61,"Ass.L.1901 Recon.Util.Pub.",1,"Etablissement Tarif Libre",,,670780063,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670005891,,"LABM CTRE TRANSF SANG STRASBOURG",,"10 RUE SPIELMANN",,67085,"STRASBOURG CEDEX",,,,,,,,,,,610,"Laboratoire d'Analyses",61,"Ass.L.1901 Recon.Util.Pub.",1,"Etablissement Tarif Libre",,,670000660,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670005917,"775 641 996 00290","LABM DE LA CRAM",,,,67420,"SAALES",,,,,,,,,,,610,"Laboratoire d'Analyses",40,"Rég.Gén.Sécurité Sociale",1,"Etablissement Tarif Libre",,,670792688,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670005933,"775 641 996 00316","LABM CTRE TRAUMA ORTHOP ILLKIRCH",,"10 AVENUE BAUMANN",,67400,"ILLKIRCH GRAFFENSTADEN",,,,,,,,,,,610,"Laboratoire d'Analyses",40,"Rég.Gén.Sécurité Sociale",1,"Etablissement Tarif Libre",,,670792688,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670005966,,"LABM WITZ",,"69 RUE DU MARECHAL FOCH",,67650,"DAMBACH LA VILLE",,,,,,,,,,,610,"Laboratoire d'Analyses",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670005941,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006204,,"PHARMACIE WILD",,"3 RUE BOURGEND",,67204,"ACHENHEIM","03 88 96 14 80 ",,,,,,,,,,620,"Pharmacie d'Officine",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670006196,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006220,"402 046 205 00017","PHARMACIE VOLTZ",,"16 RUE DU GENERAL DE GAULLE",,67140,"ANDLAU","03 88 08 02 04 ","03 88 08 59 14",,,,,,,,,620,"Pharmacie d'Officine",78,"E.U.R.L.",1,"Etablissement Tarif Libre",,,670006212,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006253,,"PHARMACIE COLAS",,"2 GRAND'RUE",,67140,"BARR","03 88 08 90 75 ",,,,,,,,,,620,"Pharmacie d'Officine",78,"E.U.R.L.",1,"Etablissement Tarif Libre",,,670006246,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006287,"319 717 955 00011","PHARMACIE CENTRALE",,"4 RUE DU GENERAL VANDENBERG",,67140,"BARR","03 88 08 90 71 ","03 88 08 49 38",,,,,,,,,620,"Pharmacie d'Officine",85,"Soc. Exer. Lib. Resp. Limitée",1,"Etablissement Tarif Libre",,,670006261,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006303,,"PHARMACIE DU CHAMP",,"75 RUE PRINCIPALE",,67500,"BATZENDORF","03 88 73 85 55 ",,,,,,,,,,620,"Pharmacie d'Officine",78,"E.U.R.L.",1,"Etablissement Tarif Libre",,,670006295,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006337,"329 239 511 00028","PHARMACIE KIENER DEBAILLE",,"12 RUE PRINCIPALE",,67930,"BEINHEIM","03 88 86 20 76 ","03 88 86 46 67",,,,,,,,,620,"Pharmacie d'Officine",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670006311,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006352,"389 242 173 00018","PHARMACIE ROMANN HOTEL DE VILLE",,"1 RUE CLEMENCEAU",,67230,"BENFELD","03 88 74 42 05 ",,,,,,,,,,620,"Pharmacie d'Officine",78,"E.U.R.L.",1,"Etablissement Tarif Libre",,,670006345,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006386,"400 426 599 00017","PHARMACIE SAINT LAURENT",,"1 RUE DU GENERAL DE GAULLE",,67230,"BENFELD","03 88 74 41 63 ","03 88 74 04 58",,,,,,,,,620,"Pharmacie d'Officine",78,"E.U.R.L.",1,"Etablissement Tarif Libre",,,670006360,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006402,,"PHARMACIE SPITZ",,"48 ROUTE DE BISCHWILLER",,67800,"BISCHHEIM","03 88 33 15 59 ",,,,,,,,,,620,"Pharmacie d'Officine",85,"Soc. Exer. Lib. Resp. Limitée",1,"Etablissement Tarif Libre",,,670006394,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006436,,"PHARMACIE DU MARAIS",,"13 RUE DU MARAIS",,67800,"BISCHHEIM","03 88 33 12 87 ",,,,,,,,,,620,"Pharmacie d'Officine",78,"E.U.R.L.",1,"Etablissement Tarif Libre",,,670006410,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006451,,"PHARMACIE DE LA ROCADE",,"2 ROUTE DE BRUMATH",,67800,"BISCHHEIM",,,,,,,,,,,620,"Pharmacie d'Officine",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670006444,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006485,,"PHARMACIE DE L'ARBRE VERT",,"1 RUE DE LA ROBERTSAU",,67800,"BISCHHEIM","03 88 33 01 08 ",,,,,,,,,,620,"Pharmacie d'Officine",85,"Soc. Exer. Lib. Resp. Limitée",1,"Etablissement Tarif Libre",,,670006477,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006501,,"PHARMACIE ZETTEL",,"14 RUE PRINCIPALE",,67870,"BISCHOFFSHEIM","03 88 50 48 76 ",,,,,,,,,,620,"Pharmacie d'Officine",78,"E.U.R.L.",1,"Etablissement Tarif Libre",,,670006493,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006535,,"PHARMACIE DU LION",,"83 RUE DU GENERAL RAMPONT",,67240,"BISCHWILLER","03 88 63 25 78 ",,,,,,,,,,620,"Pharmacie d'Officine",85,"Soc. Exer. Lib. Resp. Limitée",1,"Etablissement Tarif Libre",,,670006527,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006550,,"PHARMACIE CENTRALE BISCHWILLER",,"18 PLACE DE LA MAIRIE",,67240,"BISCHWILLER","03 88 63 21 13 ",,,,,,,,,,620,"Pharmacie d'Officine",72,"S.A.R.L.",1,"Etablissement Tarif Libre",,,670006543,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006584,,"PHARMACIE PARISIENNE",,"9 RUE RAYMOND POINCARE",,67240,"BISCHWILLER","03 88 63 20 14 ","03 88 63 70 98",,,,,,,,,620,"Pharmacie d'Officine",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670006576,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006600,"316 726 645 00013","PHARMACIE GAERTNER",,"34 ROUTE DE RHINAU",,67860,"BOOFZHEIM","03 88 74 60 08 ",,,,,,,,,,620,"Pharmacie d'Officine",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670006592,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006634,,"PHARMACIE CENTRALE",,"25 GRAND'RUE",,67330,"BOUXWILLER","03 88 71 38 00 ",,,,,,,,,,620,"Pharmacie d'Officine",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670006626,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006667,"381 749 126 00011","PHARMACIE DE BOUXWILLER",,"68 GRAND'RUE",,67330,"BOUXWILLER","03 88 70 70 29 ","03 88 71 37 11",,,,,,,,,620,"Pharmacie d'Officine",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670006642,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006683,,"PHARMACIE DES VOSGES",,"3 RUE DE LA GARE",,67130,"LA BROQUE","03 88 97 05 17 ",,,,,,,,,,620,"Pharmacie d'Officine",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670006675,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006717,,"PHARMACIE DU LION",,"1 RUE JACQUES KABLE",,67170,"BRUMATH","03 88 51 11 04 ","03 88 68 03 52",,,,,,,,,620,"Pharmacie d'Officine",85,"Soc. Exer. Lib. Resp. Limitée",1,"Etablissement Tarif Libre",,,670006691,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006733,,"PHARMACIE DU CERF",,"6 RUE JACQUES KABLE",,67170,"BRUMATH","03 90 29 11 22 ","03 90 29 11 23",,,,,,,,,620,"Pharmacie d'Officine",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670006725,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006766,"352 739 171 00010","PHARMACIE DE CHATENOIS",,"21 RUE DU MARECHAL FOCH",,67730,"CHATENOIS","03 88 82 05 90 ",,,,,,,,,,620,"Pharmacie d'Officine",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670006741,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006782,,"PHARMACIE SAINT-SEBASTIEN",,"69 RUE DU MARECHAL FOCH",,67650,"DAMBACH LA VILLE","03 88 92 41 20 ",,,,,,,,,,620,"Pharmacie d'Officine",71,"Société en Nom Collectif",1,"Etablissement Tarif Libre",,,670006774,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006816,,"PHARMACIE DU CHATEAU",,"20 RUE DU CHATEAU",,67490,"DETTWILLER","03 88 91 40 47 ",,,,,,,,,,620,"Pharmacie d'Officine",85,"Soc. Exer. Lib. Resp. Limitée",1,"Etablissement Tarif Libre",,,670006790,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006857,,"PHARMACIE SCHEFTEL STORCK",,"5 RUE MODULOR",,67370,"DINGSHEIM","03 88 56 26 04 ",,,,,,,,,,620,"Pharmacie d'Officine",85,"Soc. Exer. Lib. Resp. Limitée",1,"Etablissement Tarif Libre",,,670006840,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006873,,"PHARMACIE DES TROIS VALLEES",,"168 RUE DU GENERAL DE GAULLE",,67190,"DINSHEIM SUR BRUCHE","03 88 50 02 16 ",,,,,,,,,,620,"Pharmacie d'Officine",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670006865,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006907,,"PHARMACIE DE DORLISHEIM",,"49 GRAND'RUE",,67120,"DORLISHEIM","03 88 38 46 97 ",,,,,,,,,,620,"Pharmacie d'Officine",71,"Société en Nom Collectif",1,"Etablissement Tarif Libre",,,670006881,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006923,,"PHARMACIE ANCEL",,"1 RUE DE PHALSBOURG",,67320,"DRULINGEN","03 88 00 60 22 ","03 88 00 70 41",,,,,,,,,620,"Pharmacie d'Officine",71,"Société en Nom Collectif",1,"Etablissement Tarif Libre",,,670006915,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006956,,"PHARMACIE HUSSON",,"2 RUE DU GENERAL LECLERC",,67320,"DRULINGEN","03 88 00 60 62 ",,,,,,,,,,620,"Pharmacie d'Officine",85,"Soc. Exer. Lib. Resp. Limitée",1,"Etablissement Tarif Libre",,,670006931,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670006972,,"PHARMACIE COUSANDIER",,"19 RUE DU GENERAL DE GAULLE",,67410,"DRUSENHEIM","03 88 53 30 40 ",,,,,,,,,,620,"Pharmacie d'Officine",71,"Société en Nom Collectif",1,"Etablissement Tarif Libre",,,670006964,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670007004,,"PHARMACIE DANO",,"76 RUE DU GENERAL DE GAULLE",,67120,"DUTTLENHEIM",,,,,,,,,,,620,"Pharmacie d'Officine",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670006980,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670007020,"318 675 840 00017","PHARMACIE DU SANGLIER",,"19 RUE DU SANGLIER",,67600,"EBERSHEIM","03 88 85 74 67 ","03 88 85 74 67",,,,,,,,,620,"Pharmacie d'Officine",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670007012,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670007053,,"PHARMACIE DES CAPUCINES",,"72 AVENUE DU GENERAL DE GAULLE",,67201,"ECKBOLSHEIM","03 88 78 16 38 ",,,,,,,,,,620,"Pharmacie d'Officine",85,"Soc. Exer. Lib. Resp. Limitée",1,"Etablissement Tarif Libre",,,670007046,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670007087,"382 907 731 00014","PHARMACIE SAINT COME",,"4 RUE DES ALLIES",,67680,"EPFIG","03 88 85 51 41 ","03 88 85 53 33",,,,,,,,,620,"Pharmacie d'Officine",71,"Société en Nom Collectif",1,"Etablissement Tarif Libre",,,670007061,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670007103,"449 690 601 00017","PHARMACIE D'ERGERSHEIM",,"85 ROUTE DE WOLXHEIM",,67120,"ERGERSHEIM","03 88 49 88 44 ",,,,,,,,,,620,"Pharmacie d'Officine",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670007095,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670007137,"390 506 012 00017","PHARMACIE KARLE",,"16 RUE PRINCIPALE",,67120,"ERNOLSHEIM BRUCHE","03 88 96 09 40 ","03 88 96 17 21",,,,,,,,,620,"Pharmacie d'Officine",75,"Autre Société",1,"Etablissement Tarif Libre",,,670007111,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670007152,"409 169 414 00011","PHARMACIE DU CENTRE",,"13 RUE MERCIERE",,67150,"ERSTEIN","03 88 98 01 03 ","03 88 98 97 07",,,,,,,,,620,"Pharmacie d'Officine",85,"Soc. Exer. Lib. Resp. Limitée",1,"Etablissement Tarif Libre",,,670007145,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670007186,"408 396 224 00011","PHARMACIE DU PRINTEMPS","CENTRE COMMERCIAL LECLERC","45 RUE DU PRINTEMPS",,67150,"ERSTEIN","03 88 98 80 92 ","03 88 98 98 27",,,,,,,,,620,"Pharmacie d'Officine",78,"E.U.R.L.",1,"Etablissement Tarif Libre",,,670007160,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670007202,"424 073 922 00017","PHARMACIE LES ARCADES",,"14 RUE DE STRASBOURG",,67150,"ERSTEIN","03 88 98 25 55 ",,,,,,,,,,620,"Pharmacie d'Officine",71,"Société en Nom Collectif",1,"Etablissement Tarif Libre",,,670007194,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670007236,,"PHARMACIE PIGNON",,"55 RUE DE LA 1ERE DIVISION BLINDEE",,67114,"ESCHAU","03 88 64 23 98 ",,,,,,,,,,620,"Pharmacie d'Officine",70,"Personne Physique",1,"Etablissement Tarif Libre",,,670007210,," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
